Produto;Mês;Loja;Preço
Isolante 10;Abr;Centro;R$10,00
Segurança 8;Ago;Bairro;R$40,00
Segurança 2;Fev;Bairro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Isolante 10;Out;Bairro;R$10,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Segurança 1;Set;Centro;R$48,00
Segurança 2;Mai;Bairro;R$40,00
Adesivo 4;Jul;Bairro;R$28,00
Adesivo 9;Mar;Bairro;R$28,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Out;Centro;R$40,00
Isolante 10;Jul;Centro;R$10,00
Segurança 2;Fev;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Adesivo 10;Set;Bairro;R$28,00
Segurança 8;Ago;Centro;R$40,00
Isolante 10;Jul;Centro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Segurança 3;Out;Centro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 8;Mai;Centro;R$10,00
Isolante 10;Mar;Bairro;R$10,00
Segurança 3;Fev;Bairro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 10;Set;Bairro;R$10,00
Isolante 1;Jun;Bairro;R$12,00
Isolante 1;Jan;Centro;R$12,00
Segurança 1;Out;Centro;R$48,00
Segurança 6;Mai;Bairro;R$40,00
Segurança 9;Fev;Centro;R$40,00
Segurança 7;Mar;Bairro;R$40,00
Segurança 2;Mar;Centro;R$40,00
Isolante 7;Jul;Bairro;R$10,00
Segurança 8;Nov;Bairro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Isolante 10;Ago;Centro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Segurança 2;Mai;Bairro;R$40,00
Segurança 6;Jun;Centro;R$40,00
Isolante 10;Jun;Centro;R$10,00
Segurança 2;Jan;Bairro;R$40,00
Isolante 10;Mai;Bairro;R$10,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 5;Out;Bairro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 3;Jun;Bairro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Isolante 10;Fev;Centro;R$10,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 4;Ago;Bairro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Jul;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Jul;Centro;R$40,00
Isolante 1;Mar;Centro;R$12,00
Segurança 8;Jun;Centro;R$40,00
Segurança 8;Out;Centro;R$40,00
Segurança 8;Jul;Bairro;R$40,00
Isolante 7;Mar;Bairro;R$10,00
Adesivo 6;Fev;Bairro;R$28,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 8;Out;Centro;R$40,00
Isolante 5;Set;Bairro;R$10,00
Isolante 10;Ago;Centro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Out;Bairro;R$40,00
Isolante 7;Set;Bairro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Fev;Bairro;R$40,00
Adesivo 6;Jul;Bairro;R$28,00
Isolante 10;Dez;Bairro;R$10,00
Segurança 8;Mai;Bairro;R$40,00
Isolante 4;Out;Centro;R$10,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Adesivo 9;Dez;Centro;R$28,00
Segurança 8;Ago;Bairro;R$40,00
Isolante 8;Nov;Centro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Adesivo 4;Abr;Centro;R$28,00
Isolante 7;Out;Bairro;R$10,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Isolante 7;Dez;Centro;R$10,00
Isolante 5;Out;Bairro;R$10,00
Isolante 10;Jun;Centro;R$10,00
Isolante 7;Mar;Bairro;R$10,00
Isolante 10;Mar;Bairro;R$10,00
Segurança 8;Ago;Centro;R$40,00
Segurança 1;Jun;Bairro;R$48,00
